,Group number,L2 Group,L1 Group,Country,Longitude,Latitude,Reef area,Cell number
229,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-7.011248588562012,458566,32022
230,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-7.011248588562012,121025,32023
231,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-6.991397857666016,617714,32024
232,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.991397857666016,56727,32025
233,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.991397857666016,529795,32026
234,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.991397857666016,728890,32027
235,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.991397857666016,217700,32028
236,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.991397857666016,228644,32029
237,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-6.991397857666016,218703,32030
238,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-6.991397857666016,168907,32031
239,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-6.971546649932861,40767,32032
240,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-6.971546649932861,2553,32033
241,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.971546649932861,324954,32034
242,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.971546649932861,290023,32035
243,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.971546649932861,1006145,32036
244,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.971546649932861,379128,32037
245,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.971546649932861,389434,32038
246,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-6.971546649932861,16507,32039
247,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-6.951694488525391,694142,32040
248,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.951694488525391,22800,32041
249,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.951694488525391,23256,32042
250,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-6.951694488525391,86368,32043
251,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.951694488525391,5198,32044
252,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.951694488525391,109443,32045
253,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.951694488525391,799481,32046
254,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.951694488525391,816991,32047
255,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.951694488525391,162158,32048
256,125,Pitt Bank N,Southern Banks,Chagos,71.31999969482422,-6.951694488525391,42044,32049
257,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-6.9318413734436035,593181,32050
258,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.9318413734436035,248435,32051
259,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.9318413734436035,321215,32052
260,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-6.9318413734436035,178756,32053
261,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.9318413734436035,104062,32054
262,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.9318413734436035,1057675,32055
263,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.9318413734436035,924702,32056
264,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.9318413734436035,414332,32057
265,125,Pitt Bank N,Southern Banks,Chagos,71.30000305175781,-6.9318413734436035,270962,32058
266,125,Pitt Bank N,Southern Banks,Chagos,71.08000183105469,-6.911987781524658,345110,32059
267,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-6.911987781524658,1823046,32060
268,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.911987781524658,354412,32061
269,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.911987781524658,231745,32062
270,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.911987781524658,346295,32063
271,125,Pitt Bank N,Southern Banks,Chagos,71.19999694824219,-6.911987781524658,545573,32064
272,125,Pitt Bank N,Southern Banks,Chagos,71.22000122070312,-6.911987781524658,60284,32065
273,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-6.911987781524658,242963,32066
274,125,Pitt Bank N,Southern Banks,Chagos,71.08000183105469,-6.8921332359313965,410320,32067
275,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-6.8921332359313965,1715883,32068
276,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.8921332359313965,248618,32069
277,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.8921332359313965,274884,32070
278,125,Pitt Bank N,Southern Banks,Chagos,71.16000366210938,-6.8921332359313965,169545,32071
279,125,Pitt Bank N,Southern Banks,Chagos,71.18000030517578,-6.8921332359313965,313280,32072
280,125,Pitt Bank N,Southern Banks,Chagos,71.23999786376953,-6.8921332359313965,2280,32073
281,125,Pitt Bank N,Southern Banks,Chagos,71.26000213623047,-6.8921332359313965,145650,32074
282,125,Pitt Bank N,Southern Banks,Chagos,71.27999877929688,-6.8921332359313965,226455,32075
283,125,Pitt Bank N,Southern Banks,Chagos,71.0999984741211,-6.872277736663818,682650,32076
284,125,Pitt Bank N,Southern Banks,Chagos,71.12000274658203,-6.872277736663818,659758,32077
285,125,Pitt Bank N,Southern Banks,Chagos,71.13999938964844,-6.872277736663818,3830,32078
